Family_ID,Father ID,Mother_ID,Child_ID_1,Child_ID_2,Child_ID_3,Child_ID_4,Child_ID_5,Child_ID_6,Child_ID_7,Child_ID_8,Child_ID_9,Child_ID_10
F1,I122595756891,I122595756989,I122595757134,,,,,,,,,
F2,I122618186869,I122618186880,I122618186500,,,,,,,,,
F3,I122596874619,I122628820256,,,,,,,,,,
F4,I122602834856,I122602834510,I122602835008,,,,,,,,,
F5,I122597411748,I122597411700,,,,,,,,,,
F6,I122595003067,I122595003182,,,,,,,,,,
F7,I122618383589,I122618383541,,,,,,,,,,
F8,I122603210508,I122618711219,I122603210627,,,,,,,,,
F9,I122605095874,I122605095980,,,,,,,,,,
F10,I122595691266,I122595691328,I122595691362,,,,,,,,,
F11,I122616253583,I122616253560,,,,,,,,,,
F12,I122616597636,I122616597600,I122616597347,I122616598149,,,,,,,,
F13,I122594102041,I122594102060,I122594102020,,,,,,,,,
F14,I122609077282,I122609077267,I122609076715,,,,,,,,,
F15,I122603572157,I122603572262,,,,,,,,,,
F16,I122595691385,I122595691362,I122595691421,,,,,,,,,
F17,I122596608876,I122596608812,I122596608649,I122596915295,,,,,,,,
F18,I122597051237,I122597051306,,,,,,,,,,
F19,I122604571634,I122604570981,I122604571701,,,,,,,,,
F20,I122605915052,I122605915102,I122605915143,I122605916201,I122605982537,,,,,,,
F21,I122615090258,I122615090315,I122615090366,,,,,,,,,
F22,I122600508340,I122600508373,I122600508153,I122600508626,,,,,,,,
F23,I122593577735,I122593577745,I122605490609,I122593577668,I122600809453,,,,,,,
F24,I122596133754,I122604739051,I122596133684,,,,,,,,,
F25,I122603686799,I122603686806,I122603686489,,,,,,,,,
F26,I122603686799,I122603686940,I122603687075,,,,,,,,,
F27,I122603670417,I122603670352,I122614845453,I122603670475,I122603671663,,,,,,,
F28,I122610682975,I122610682882,,,,,,,,,,
F29,I122594101594,I122594102020,,,,,,,,,,
F30,I122606029758,I122606029912,I122606030042,,,,,,,,,
F31,I122614352959,I122614352950,I122614352847,,,,,,,,,
F32,I122595691266,I122595691291,I122595691187,,,,,,,,,
F33,I122596494085,I122596494088,I122596494058,,,,,,,,,
F34,I122596133639,I122596133655,I122596133608,,,,,,,,,
F35,I122618858701,I122618858739,,,,,,,,,,
F36,I122614795300,I122614795306,I122614795151,I122614791282,,,,,,,,
F37,I122616761544,I122616761604,,,,,,,,,,
F38,I122595003251,I122595003309,I122595003182,I122595003501,,,,,,,,
F39,I122604735291,I122604735366,,,,,,,,,,
F40,I122593577839,I122593577914,I122594096633,I122594518201,I122594095883,I122593577587,,,,,,
F41,I122593577839,I122593580509,,,,,,,,,,
F42,I122597411620,I122597411498,I122597411700,,,,,,,,,
F43,I122597051164,I122597051066,I122597051237,,,,,,,,,
F44,I122596133684,I122604738985,I122604738886,I122596133655,,,,,,,,
F45,I122595396339,I122595396410,I122595396531,,,,,,,,,
F46,I122604735399,I122604735412,I122604735366,,,,,,,,,
F47,I122603670620,I122603670475,I122603670693,,,,,,,,,
F48,I122594298513,I122594298691,I122594298771,,,,,,,,,
F49,I122616253452,I122616253428,I122616253560,,,,,,,,,
F50,I122603375620,I122603375571,I122603375679,,,,,,,,,
F51,I122604735399,I122604735633,I122604735721,,,,,,,,,
F52,I122597165816,I122597165882,I122597165452,I122597165973,,,,,,,,
F53,I122618858508,I122618858552,I122618858701,,,,,,,,,
F54,I122594659216,I122594659246,I122594659271,,,,,,,,,
F55,I122616302525,I122616302616,I122616302976,,,,,,,,,
F56,I122595691478,I122595691486,I122600375541,I122595691454,,,,,,,,
F57,I122594724566,I122594724771,,,,,,,,,,
F58,I122606209907,I122606209842,,,,,,,,,,
F59,I122596707267,I122594660755,I122594660559,I122594660848,I122596708184,I122596707251,,,,,,
F60,I122613681627,I122613681359,,,,,,,,,,
F61,I122603225830,I122603227956,I122603221583,,,,,,,,,
F62,I122604735291,I122604735301,I122604735271,,,,,,,,,
F63,I122600377094,I122600377171,,,,,,,,,,
F64,I122614664460,I122614664408,I122614664673,,,,,,,,,
F65,I122616253637,I122616253647,I122616253583,,,,,,,,,
F66,I122605095777,I122605095419,I122605095874,,,,,,,,,
F67,I122597165973,I122597166059,I122597166115,,,,,,,,,
F68,I122597411782,I122594591887,I122604572993,I122597411748,,,,,,,,
F69,I122594298852,I122594298771,,,,,,,,,,
F70,I122616581202,I122616581209,I122616580396,I122616581985,,,,,,,,
F71,I122595691421,I122595691454,,,,,,,,,,
F72,I122606209805,I122606209842,,,,,,,,,,
F73,I122594659296,I122594659302,I122594659293,,,,,,,,,
F74,I122596707251,I122596707202,,,,,,,,,,
F75,I122605701828,I122605701901,,,,,,,,,,
F76,I122615090720,I122615090366,,,,,,,,,,
F77,I122616761417,I122616761413,I122616761544,I122616761255,,,,,,,,
F78,I122594659313,I122594659314,I122594659358,I122594659302,,,,,,,,
F79,I122596608919,I122596608942,I122603206482,I122596608876,I122606027196,,,,,,,
F80,I122605701913,I122605701917,I122605701901,,,,,,,,,
F81,I122608274723,I122608274629,,,,,,,,,,
F82,I122600377184,I122600377201,I122600377357,I122600377171,,,,,,,,
F83,I122593577932,I122593577946,I122593577839,,,,,,,,,
F84,I122606029596,I122606029562,I122606029758,I122606116066,,,,,,,,
F85,I122609077483,I122609077475,I122604959826,I122609077267,,,,,,,,
F86,I122594724807,I122594724824,I122594725068,I122594724771,,,,,,,,
F87,I122594659293,I122594659271,,,,,,,,,,
F88,I122594740833,I122594741189,I122594741269,,,,,,,,,
F89,I122595396669,I122595396531,,,,,,,,,,
F90,I122604735215,I122604735271,,,,,,,,,,
F91,I122593577932,I122594174647,I122594589722,I122594174579,,,,,,,,
F92,I122610683080,I122610680018,I122610682975,,,,,,,,,
F93,I122596493903,I122596493962,,,,,,,,,,
F94,I122603375269,I122603375296,I122603375222,I122603832073,I122603857973,,,,,,,
F95,I122609962241,I122609959085,I122609967055,,,,,,,,,
F96,I122615123394,I122615123312,I122615123614,I122615125007,I122618928512,,,,,,,
F97,I122616761743,I122616761756,I122616761604,,,,,,,,,
F98,I122594658855,I122594658830,,,,,,,,,,
F99,I122595002995,I122595002932,I122595003067,,,,,,,,,
F100,I122595691073,I122595691037,I122595691135,I122600775901,,,,,,,,
F101,I122600508119,I122600508041,,,,,,,,,,
F102,I122596033016,I122596035148,I122596026696,I122597162290,I122605083081,I122596098346,,,,,,
F103,I122616302976,I122616303076,,,,,,,,,,
F104,I122603375222,I122603375239,I122603829767,I122603375200,I122603830247,,,,,,,
F105,I122613681510,I122613681428,I122613686947,,,,,,,,,
F106,I122595691167,I122595691135,,,,,,,,,,
F107,I122603686489,I122603686539,I122603686446,,,,,,,,,
F108,I122596133498,I122596133582,,,,,,,,,,
F109,I122593577494,I122593577587,I122593541808,,,,,,,,,
F110,I122597542456,I122597542479,I122597542417,I122597542650,,,,,,,,
F111,I122602834583,I122602834510,I122602835740,,,,,,,,,
F112,I122628812092,I122628819997,I122628820256,,,,,,,,,
F113,I122596608624,I122596608536,,,,,,,,,,
F114,I122618039629,I122618039737,,,,,,,,,,
F115,I122594658887,I122594658923,I122594658966,I122594658855,,,,,,,,
F116,I122606209723,I122606209648,I122606209805,,,,,,,,,
F117,I122603375333,I122603375351,I122603526143,I122603478785,I122603685412,I122603375269,I122603859783,,,,,
F118,I122595396116,I122595396126,I122595396079,I122595396339,,,,,,,,
F119,I122618859000,I122618859015,I122618858826,,,,,,,,,
F120,I122616301437,I122593577587,,,,,,,,,,
F121,I122594740833,I122594740836,I122602824849,I122594740680,,,,,,,,
F122,I122597411353,I122597411374,I122597411315,I122597411498,,,,,,,,
F123,I122606029396,I122606029483,I122606029562,,,,,,,,,
F124,I122594724536,I122594724477,,,,,,,,,,
F125,I122595691002,I122595691010,I122595691037,I122595690991,,,,,,,,
F126,I122597050907,I122597050914,I122596998910,I122597051066,,,,,,,,
F127,I122600508146,I122600508153,I122600508119,,,,,,,,,
F128,I122610109834,I122610109781,,,,,,,,,,
F129,I122610535772,I122610535840,I122610542595,,,,,,,,,
F130,I122597542417,I122597542385,I122597542297,,,,,,,,,
F131,I122616253716,I122616253717,I122616253637,,,,,,,,,
F132,I122616253716,I122616253973,,,,,,,,,,
F133,I122616466778,I122616466718,I122616467175,,,,,,,,,
F134,I122596915732,I122597542650,I122596915385,I122596915829,,,,,,,,
F135,I122600508001,I122600507926,I122600508041,,,,,,,,,
